case,year,category,nationality,modeled_visas,n_runs,visas_issued,residual_model_minus_observed
catchall_60_65,2018,EB-5,India,693.0,50,585,108.0
catchall_60_65,2018,EB-5,ROW,8221.76,50,4375,3846.76
catchall_60_65,2019,EB-1,China,4757.32,50,5284,-526.6800000000003
catchall_60_65,2019,EB-1,India,9650.68,50,9008,642.6800000000003
catchall_60_65,2019,EB-1,ROW,25800.0,50,25800,0.0
catchall_60_65,2019,EB-2,China,2814.0,50,3369,-555.0
catchall_60_65,2019,EB-2,India,2814.0,50,2908,-94.0
catchall_60_65,2019,EB-2,ROW,34579.0,50,33775,804.0
catchall_60_65,2019,EB-3,China,2814.0,50,3682,-868.0
catchall_60_65,2019,EB-3,India,2814.0,50,5083,-2269.0
catchall_60_65,2019,EB-3,ROW,34579.0,50,32111,2468.0
catchall_60_65,2019,EB-4,China,196.28,50,89,107.28
catchall_60_65,2019,EB-4,India,699.0,50,659,40.0
catchall_60_65,2019,EB-4,ROW,9086.72,50,9340,-253.28000000000065
catchall_60_65,2019,EB-5,China,6995.64,50,4327,2668.6400000000003
catchall_60_65,2019,EB-5,India,699.0,50,760,-61.0
catchall_60_65,2019,EB-5,ROW,2287.36,50,4391,-2103.64
catchall_60_65,2020,EB-1,China,4766.0,50,4766,0.0
