scenario,entry_year,nationality,eb_category,observation_end_year,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
Uncapped,2024,ROW,EB-1,2061,total_created,2,8158.0,48.08326112068523,33.99999999999999,,,2,0,0
Uncapped,2024,ROW,EB-2,2061,total_created,2,12979.5,84.14570696119915,59.49999999999999,,,2,0,0
Uncapped,2024,ROW,EB-3,2061,total_created,2,17203.5,60.10407640085654,42.5,,,2,0,0
Uncapped,2024,ROW,EB-4,2061,total_created,2,11100.5,75.66042558696059,53.49999999999999,,,2,0,0
Uncapped,2024,ROW,EB-5,2061,total_created,2,1262.5,47.37615433949868,33.5,,,2,0,0
Uncapped,2025,India,EB-1,2061,total_created,2,4681.0,154.14927829866735,108.99999999999999,,,2,0,0
Uncapped,2025,India,EB-2,2061,total_created,2,18296.0,84.8528137423857,60.0,,,2,0,0
Uncapped,2025,India,EB-3,2061,total_created,2,4596.0,62.22539674441618,43.99999999999999,,,2,0,0
Uncapped,2025,India,EB-4,2061,total_created,2,933.0,36.76955262170047,25.999999999999996,,,2,0,0
Uncapped,2025,India,EB-5,2061,total_created,2,664.0,7.0710678118654755,5.0,,,2,0,0
Uncapped,2025,China,EB-1,2061,total_created,2,1953.5,41.71930009000631,29.5,,,2,0,0
Uncapped,2025,China,EB-2,2061,total_created,2,2582.0,38.18376618407357,27.0,,,2,0,0
Uncapped,2025,China,EB-3,2061,total_created,2,2284.5,19.091883092036785,13.5,,,2,0,0
Uncapped,2025,China,EB-4,2061,total_created,2,46.0,9.899494936611665,6.999999999999999,,,2,0,0
Uncapped,2025,China,EB-5,2061,total_created,2,1607.5,17.67766952966369,12.5,,,2,0,0
Uncapped,2025,ROW,EB-1,2061,total_created,2,8019.5,101.1162697096763,71.5,,,2,0,0
Uncapped,2025,ROW,EB-2,2061,total_created,2,12859.0,5.656854249492381,4.0,,,2,0,0
Uncapped,2025,ROW,EB-3,2061,total_created,2,17321.0,45.254833995939045,32.0,,,2,0,0
Uncapped,2025,ROW,EB-4,2061,total_created,2,11047.0,32.526911934581186,23.0,,,2,0,0
Uncapped,2025,ROW,EB-5,2061,total_created,2,1242.0,45.254833995939045,32.0,,,2,0,0
Uncapped,2026,India,EB-1,2061,total_created,2,4713.0,93.33809511662427,66.0,,,2,0,0
Uncapped,2026,India,EB-2,2061,total_created,2,18401.0,53.74011537017761,38.0,,,2,0,0
