annual_principal_exits,annual_visas,category,nationality,principal_backlog,scenario,year,case,role,seed
7911,0,EB-3,ROW,200451,Uncapped,2028,catchall_60_65,primary,2014
473,519,EB-4,India,11576,Uncapped,2028,catchall_60_65,primary,2014
33,0,EB-4,China,748,Uncapped,2028,catchall_60_65,primary,2014
25969,11366,EB-4,ROW,514317,Uncapped,2028,catchall_60_65,primary,2014
32,3184,EB-5,India,3912,Uncapped,2028,catchall_60_65,primary,2014
100,8485,EB-5,China,11242,Uncapped,2028,catchall_60_65,primary,2014
59,216,EB-5,ROW,5707,Uncapped,2028,catchall_60_65,primary,2014
179,15746,EB-1,India,19930,Uncapped,2029,catchall_60_65,primary,2014
200,9521,EB-1,China,14163,Uncapped,2029,catchall_60_65,primary,2014
385,22608,EB-1,ROW,28411,Uncapped,2029,catchall_60_65,primary,2014
7344,45038,EB-2,India,445307,Uncapped,2029,catchall_60_65,primary,2014
2985,2837,EB-2,China,118595,Uncapped,2029,catchall_60_65,primary,2014
3959,0,EB-2,ROW,148726,Uncapped,2029,catchall_60_65,primary,2014
2799,37312,EB-3,India,115458,Uncapped,2029,catchall_60_65,primary,2014
1971,10562,EB-3,China,50511,Uncapped,2029,catchall_60_65,primary,2014
8882,0,EB-3,ROW,229400,Uncapped,2029,catchall_60_65,primary,2014
514,593,EB-4,India,12367,Uncapped,2029,catchall_60_65,primary,2014
54,0,EB-4,China,911,Uncapped,2029,catchall_60_65,primary,2014
27861,11292,EB-4,ROW,563333,Uncapped,2029,catchall_60_65,primary,2014
23,2342,EB-5,India,4032,Uncapped,2029,catchall_60_65,primary,2014
98,6269,EB-5,China,11515,Uncapped,2029,catchall_60_65,primary,2014
54,3274,EB-5,ROW,5806,Uncapped,2029,catchall_60_65,primary,2014
215,16109,EB-1,India,21838,Uncapped,2030,catchall_60_65,primary,2014
195,9768,EB-1,China,15445,Uncapped,2030,catchall_60_65,primary,2014
398,21998,EB-1,ROW,31305,Uncapped,2030,catchall_60_65,primary,2014
7458,43203,EB-2,India,457038,Uncapped,2030,catchall_60_65,primary,2014
3091,4672,EB-2,China,125055,Uncapped,2030,catchall_60_65,primary,2014
4548,0,EB-2,ROW,167965,Uncapped,2030,catchall_60_65,primary,2014
2561,41470,EB-3,India,105228,Uncapped,2030,catchall_60_65,primary,2014
1991,6404,EB-3,China,52212,Uncapped,2030,catchall_60_65,primary,2014
10008,0,EB-3,ROW,257133,Uncapped,2030,catchall_60_65,primary,2014
577,378,EB-4,India,13190,Uncapped,2030,catchall_60_65,primary,2014
68,0,EB-4,China,1070,Uncapped,2030,catchall_60_65,primary,2014
29535,11507,EB-4,ROW,609508,Uncapped,2030,catchall_60_65,primary,2014
23,2361,EB-5,India,4104,Uncapped,2030,catchall_60_65,primary,2014
97,6018,EB-5,China,11852,Uncapped,2030,catchall_60_65,primary,2014
59,3506,EB-5,ROW,5909,Uncapped,2030,catchall_60_65,primary,2014
226,15940,EB-1,India,23907,Uncapped,2031,catchall_60_65,primary,2014
231,9549,EB-1,China,16709,Uncapped,2031,catchall_60_65,primary,2014
457,22386,EB-1,ROW,33959,Uncapped,2031,catchall_60_65,primary,2014
7634,42023,EB-2,India,469189,Uncapped,2031,catchall_60_65,primary,2014
3166,5852,EB-2,China,130814,Uncapped,2031,catchall_60_65,primary,2014
5326,0,EB-2,ROW,186240,Uncapped,2031,catchall_60_65,primary,2014
2255,41715,EB-3,India,94926,Uncapped,2031,catchall_60_65,primary,2014
2042,6159,EB-3,China,54178,Uncapped,2031,catchall_60_65,primary,2014
11018,0,EB-3,ROW,283899,Uncapped,2031,catchall_60_65,primary,2014
639,399,EB-4,India,13925,Uncapped,2031,catchall_60_65,primary,2014
58,0,EB-4,China,1218,Uncapped,2031,catchall_60_65,primary,2014
30954,11486,EB-4,ROW,654190,Uncapped,2031,catchall_60_65,primary,2014
20,2382,EB-5,India,4179,Uncapped,2031,catchall_60_65,primary,2014
121,6112,EB-5,China,12163,Uncapped,2031,catchall_60_65,primary,2014
71,3391,EB-5,ROW,6037,Uncapped,2031,catchall_60_65,primary,2014
245,15654,EB-1,India,25910,Uncapped,2032,catchall_60_65,primary,2014
231,9648,EB-1,China,18100,Uncapped,2032,catchall_60_65,primary,2014
525,22573,EB-1,ROW,36506,Uncapped,2032,catchall_60_65,primary,2014
7816,41746,EB-2,India,481186,Uncapped,2032,catchall_60_65,primary,2014
3381,6129,EB-2,China,135994,Uncapped,2032,catchall_60_65,primary,2014
5837,0,EB-2,ROW,204240,Uncapped,2032,catchall_60_65,primary,2014
2168,32957,EB-3,India,88750,Uncapped,2032,catchall_60_65,primary,2014
2197,5832,EB-3,China,55959,Uncapped,2032,catchall_60_65,primary,2014
11745,9085,EB-3,ROW,305534,Uncapped,2032,catchall_60_65,primary,2014
646,289,EB-4,India,14612,Uncapped,2032,catchall_60_65,primary,2014
52,0,EB-4,China,1372,Uncapped,2032,catchall_60_65,primary,2014
